name,description
Sugar mouse,"Cozy, retro vibes; eclectic music; youthful, diverse, artsy crowd."
Nowhere,"Cozy, queer-friendly bar with chill vibes, eclectic music, diverse crowd."
Coyote Ugly New York,"Outpost of a festive saloon chain with female bartenders, bartop dancing & body shots."
Beauty Bar,"Retro charm, vintage decor, lively DJ, indie music, eclectic crowd, vibrant."
The Belfry,"trendy, cozy, vintage décor, craft cocktails, indie music, mixed crowd."
The Winslow,British-style pub & eatery providing elevated bar bites along with gin cocktails & U.K. brews.
12th Street Ale House,Easygoing watering hole with a seasonal beer list where the vintage jukebox sets the mood.
Cacio e Pepe,"Trendy, intimate Italian spot with indie music; young professionals; cozy vibes."
Juke Bar,"Lively, Southern-flavored joint with signature cocktails, craft beers & a live band on Sundays."
"Sincerely, Ophelia","Intimate gothic cocktail bar, eclectic music, bohemian crowd, vintage romantic ambiance."
Little Rebel,"Trendy NYC bar, edgy atmosphere, indie rock music, young professionals."
The Laurels Cafe and Bar,"Laid-back atmosphere, indie music, eclectic crowd, artsy vibe, cozy venue."
Jackdaw,"Trendy, industrial-chic bar; chill vibe; eclectic music; young professional crowd."
Bob’s Bar NYC,"Cozy, lively bar with eclectic music; attracts diverse, trendy young crowd."
O'hanlon's,"Cozy Irish tavern offering draft beers & cocktails, plus pool tables, dart boards & sports on TV."
Idaho,"rustic decor, laid-back vibe, folk music, diverse, artistic crowd."
Achilles Heel,"Cozy dive bar, relaxed vibe, eclectic music, diverse crowd, neighborhood favorite."
The Moonlight Mile,More than 250 American whiskeys line the bar at this corner spot also serving craft beer & wine.
Oak & Iron,"Cozy, rustic atmosphere; chill vibe; indie music; young professionals."
Bar Americano,"Trendy, lively bar; sophisticated atmosphere; eclectic music; upscale, diverse clientele."
Elder Greene,"Relaxed watering hole with classic interiors, fixing up small & large plates, plus weekend brunch."
The Brew Inn,Refurbished wood adorns this laid-back bar serving local beers & grub such as burgers & pierogi.
Sama Street,"Cozy Brooklyn bar, Asian-inspired cocktails, chill vibe, diverse 20s-30s crowd."
Citroën,"Chic, vibrant, eclectic tunes, mixed age crowd, upscale atmosphere, trendy."
Little Branch,Underground den of mixology featuring a vast menu of handcrafted cocktails in a snug space.
LELABAR,"Cozy nook with oval-shaped bar, global wine list (plus tastings) & charcuterie menu."
Houston Hall,"Craft brews & bar bites from Greenpoint Beer Works served in a cavernous, industrial-chic setting."
The Brooklyneer,This pub salutes Brooklyn with local beers & spirits plus creative pub food.
Spunto NYC Thin Crust Pizza,"Pizza parlor turning out thin-crust pies with creative toppings in a small, relaxed space."
The Clam,"A seasonal, clam-focused seafood menu presented in a cozy, brick-walled space with large windows."
Sounds Of Brazil,Latin food & drink accompany live & DJ'ed sets of world music & hip-hop at this longtime club.
Music Bar at EN (Vinyl Record Bar ),"Vintage vinyl vibes, cozy ambiance, diverse music genres, mature crowd, intimate."
Judy Z’s Sports Tavern & Kitchen,"Laid-back venue whipping up brunch, burgers, tacos & finger foods, plus draft beer & cool cocktails."
Bar Nena,"Trendy, cozy bar; relaxed vibe; eclectic music; attracts diverse, young crowd."
Sveta,"Stylish eatery offering local & Russian dishes, plus brunch classics & funky cocktails in pouches."
Aria Wine Bar,Cozy West Village spot serving small plates alongside cocktails & wine produced by female vintners.
Market Table,Bustling New American eatery with huge windows & an emphasis on farm-fresh fare.
Off the Wagon,Beers & bar snacks are offered along with sports on 17 screens at this collegiate watering hole.
Villa Mosconi Restaurant,"Open since 1976, this family-run fixture with vintage charm serves homemade pasta & classic entrees."
Dante NYC,"Cozy ambiance, jazz tunes, upscale cocktails, mature crowd."
The Grisly Pear Greenwich Village,"Clubby pub where beer & burgers are served to folks watching TV sports, live comedians or karaoke."
Greenwich Village Comedy Club,Cozy underground bar featuring up-&-coming comedians & open-mike events 7 nights a week.
Delice & Sarrasin,"Chic French bistro; cozy atmosphere, classic tunes, vegan menu, diverse crowd."
The Village Tavern,Sports bar offering TVs & pool in a space adorned with a fireplace & stained-glass windows.
Carmine Street Beers,Beer specialist with a huge selection of domestic & imported craft brews sold in bottles & growlers.
Hello Saigon,"Mellow, brick & wood–lined eatery offering Vietnamese standards such as pho & banh mi sandwiches."
Minetta Tavern,Celeb-magnet hot-ticket tavern with upper-end French bistro fare & reimagined vintage decor.
Demo,"Trendy NYC bar with lively atmosphere; eclectic music; diverse, urban demographic."
Temperance,"Trendy ambiance, craft cocktails, eclectic mix, indie tunes, young professionals."
Ama Raw Bar West Village,"Ama Raw Bar offers a trendy, intimate vibe with chill music and diverse patrons."
4 Way Deli,"Vibrant, eclectic, chill; diverse crowd, live jazz, urban art."
Bandits Diner + Dive,"Burgers & bar snacks in a retro, wood-lined watering hole, plus an innovative cocktail menu."
Dame,"Relaxed seafood eatery offering hearty mains, small plates & classic cocktails, plus a terrace."
Parcelle Greenwich Village,"Chic, intimate haven, jazz tunes, curated wines, diverse, trendy, sophisticated patrons."
LPR,"Eclectic, chic venue with live music; attracts diverse, artsy crowd."
Cafe Wha?,"Energetic house bands play at former hangout of Bob Dylan, Jimi Hendrix, Allen Ginsberg & others."
Negril Village,"Spicy Caribbean fare, potent rum punch & an in-house DJ playing tunes create an island vibe."
Amity Hall Downtown,"Beer hall offering a large craft-brew menu in a brick-walled, TV-equipped space."
The Red Lion,Rock & blues bands perform nightly while soccer games on satellite TV hold forth at other times.
Cuba,"Lively Cuban bar, vibrant atmosphere, Latin music, diverse, energetic crowd."
Wicked Willy's,"Live bands, beer pong tables & drink specials amp up the party vibe at this watering hole near NYU."
The Half Pint / Ernie's Bar,A collegiate crowd bellies up to the antique pine bar to drink from a vast beer list & eat pub grub.
Il Mulino - Downtown (West 3rd),"Elegantly appointed, well-known restaurant focusing on sizable plates of Italian favorites."
The Malt House Greenwich Village,"Rustic-chic, casual hangout known for American craft beers & food served amid a funky tavern vibe."
Peculier Pub,"More than 300 international brews await at this long-standing, cash-only pub with pewlike seating."
124 Old Rabbit Club,"Accessed by pressing a buzzer, this skinny cellar pub features a long list of mostly European beers."
Terra Blues,Both local & nationally known blues acts perform at this laid-back second-floor music club.
SHADE BAR Crepes,"cozy, jazz-themed, diverse crowd, welcoming ambiance, gourmet crepes."
Olive Tree Cafe,"Longtime joint above the Comedy Cellar with Middle Eastern fare, Chaplin films & chalkboard tables."
Groove,"Retro-chic, vibrant atmosphere, funk/soul music, diverse, young professionals."
Zinc Bar,"Live jazz headlines this subterranean club known for its African, Latin & Brazilian rhythms."
3 Sheets,Bi-level sports bar near NYU offers long happy hours & bar food.
The Uncommons,"Cafe with a vast board game library, WiFi, coffee & a seasonal menu of sandwiches & light eats."
GMT Tavern,Sprawling British-inspired pub with leather-&-mahogany decor & an extensive draft-beer list.
Triona's on Sullivan,"Classic Irish pub with exposed wood & a variety of draft beers, plus a pool table & dartboards."
Carroll Place,Evocative gastropub & wine bar pairing its drinks with Italian-influenced fare in comfortable digs.
MacDougal Street Ale House,"Super-casual underground bar offering beer & diversions such as satellite sports, pool & darts."
The Up & Up,"Chic, intimate cocktail bar with jazz vibes; attracts trendy, young professionals."
3 Giovani,"Cozy, contemporary Italian stalwart serving pizza, wine, pasta dishes & regional Tuscan cuisine."
Tartinery Café - Bar | Greenwich Village,"Trendy, cozy, French-inspired; chill vibes, acoustic music; diverse, youthful crowd."
Rum Bar,"Vibrant Caribbean vibe, reggae music, diverse crowd, cozy, friendly atmosphere."
Ways and Means,"Intimate bar with relaxed vibe, indie music, and diverse crowd."
Bosco On Bleecker,"Trendy, sophisticated, live jazz, relaxed vibe, diverse crowd, upscale décor."
Chow House 德悦轩,"Casual Chinese eatery with lunch deals offering Sichuan staples, including popular soup dumplings."
The Bitter End,"Since 1961, many famous artist have played at this iconic music club with nightly shows & cocktails."
Madam Ji Indian Restaurant & Cocktail Bar,"Casual, contemporary Indian spot offering a wide-ranging menu & craft cocktails, plus delivery."
Calle Dao Downtown,"Lively, Cuban-Asian fusion, energetic vibe, Latin music, diverse crowd."
POLKA DOT SMOKE SHOP,"Chill lounge vibe, eclectic music, diverse crowd, artistic decor, welcoming."
Josie Woods Pub,"Subterranean sports bar with a college-keg-party vibe, pub grub & beer plus pool & darts."
Kimball Hall,"Upscale vibe, eclectic music, sophisticated decor, diverse professional crowd."
The Library at the Public,Varied American cuisine & craft cocktails served in a 2nd-floor venue with a refined hideaway feel.
Jean's,"Cozy, intimate bar; jazz music; dimly lit; young professionals and artists."
Bluestone Lane Astor Place Coffee Shop,Melbourne-inspired coffee shop offering espresso drinks & cafe fare with an Australian accent.
Spot Dessert Bar,"Cozy, chic atmosphere with delightful desserts, ambient music, diverse crowd."
Sake Bar Decibel,Underground sake bar offering a large list of varietals along with Japanese snacks.
Kingston Hall,Rustic-chic destination for contemporary craft cocktails & a limited menu of creative bar food.
Burp Castle,Bartenders keep the noise level down while serving exotic imported brews at this laid-back taproom.
Solas,"Busy bar on first floor with a dark, smaller lounge above, where a DJ keeps the dancing going."
Bull McCabes,"Low-key Irish watering hole featuring billiards, darts & a simple outdoor seating area."
Standings,"Pennant-lined walls, TVs & craft beers keep sports fans in the rooting spirit at this tiny bar."
Proletariat,"Chic, intimate bar with punk rock music; attracts artsy, diverse crowd."
212 Hisae's,"Trendy dive bar with eclectic music, artsy decor, diverse crowd."
SING SING St.Marks Karaoke,Lively karaoke bar offering private rooms & pitchers of beer in a downtown brick building.
St. Marks Comedy Club,"Lively, intimate bar featuring diverse stand-up acts; eclectic mix, youthful crowd."
McSorley’s Old Ale House,"Old-time bar with Irish bartenders, 2 kinds of ale (light or dark) & sawdust on the floor."
The Copper Still East Village,"Bar focusing on whiskeys (region by region), along with barrel-aged cocktails & late-night bites."
Hi-Collar,"Snazzy, compact Japanese cafe showcasing high-end coffee & sandwiches, plus sake & beer at night."
Sly Fox,"Chic retro vibe, eclectic music, diverse crowd, cozy seating, craft cocktails."
Aroll Bar & Grill,"Lively atmosphere, eclectic vibe, rock music, young professionals."
Sigma Bar,"chic atmosphere, energetic vibe, indie music, young professionals."
Downtown Social,"Lively atmosphere, trendy vibe, diverse patrons, eclectic music, energetic nightlife scene."
The Long Pour,"Easygoing pit stop with a neighborhood vibe offering beer & cocktails, plus TV sports."
Bar Aptowitz,"Chic, vintage atmosphere; upbeat indie music; trendy young professionals frequent."
SAINT RESTAURANT BAR & SPEAKEASY,Brick-walled brasserie with an intimate feel serving updated French dishes and craft cocktails.
The Rhymers’ Club,"Sophisticated ambiance, live jazz, diverse patrons, literary-themed decor, poetic essence."
Sahara East,A variety of flavored tobaccos complements classic Middle Eastern dishes at this hookah bar.
The Immigrant,"Cozy, inviting, eclectic vibe; diverse music; mixed-age crowd; intimate atmosphere."
Ferns,"Rustic-chic spot for inventive bar food, craft cocktails & live music, plus monthly comedy nights."
MUD SPOT aka MUD,"A sibling of the roving coffee truck, this chill spot also serves American fare & craft beers."
Hard to Explain,"Trendy, eclectic bar with indie music, diverse crowd, cozy."
Vin Sur Vingt Wine Bar - East Village,"Intimate, cozy wine bar; relaxed vibe, diverse crowd, soft jazz music."
Stickett Inn,"Cozy, rustic atmosphere; indie and folk music; diverse, relaxed clientele."
Marylou,"Cozy, vintage ambiance; eclectic music; attracting artistic, diverse young crowd."
Holiday Cocktail Lounge,"Once a classic dive, this completely redone space now has a swanky look, food & big-time drinks."
El Camion Cantina,"Mexican cantina with standards like burritos & fajitas, plenty of tequila & a buzzy brunch scene."
Fat Buddha,Late-night Asian-fusion eats & cocktails make for a party atmosphere at this bar/restaurant.
Drop Off Service,"This former laundromat offers an extensive offering of draft beers in a casual, brick-lined setting."
HiFi,"Intimate bar, relaxed vibe, diverse crowd, rock music, rustic décor."
Phoenix Bar,"Lively, eclectic vibe; diverse crowd; indie music; energetic, chill atmosphere."
Planet Rose,Amateur singers take the mike at this karaoke lounge with lipstick-red walls & zebra-print seats.
11th St. Bar,This neighborhood Irish pub is big with Liverpool fans & it hosts occasional live music & poetry.
Au Za'atar,"Au Za'atar offers a vibrant, cozy atmosphere with Middle Eastern cuisine, attracting diverse patrons."
The HorseBox,Bustling neighborhood hangout pouring beer & spirits in a brick-walled space with sports on TV.
The Last Resort,"Cozy dive bar with rock music, friendly vibe, diverse crowd."
The Spotted Owl Tavern,"Convivial hangout with vintage decor offering eclectic bar fare, cocktails & beers on tap."
Bar TBD,"Trendy, laid-back, eclectic tunes, diverse crowd, artsy vibes."
The Garret East @ Borrachito,"Resembling a posh, retro apartment, this bar serves seasonal cocktails, wines & canned beers."
dhom,"Trendy NYC bar; lively vibe, eclectic music, diverse young professionals."
Gomi Korean Wine Bar,"Korean & Brazilian dishes with no added sugar are paired with wines in a relaxed, simple space."
Motel No Tell,"Retro vibe, eclectic music, lively crowd, diverse demographics."
Hidden Tiger,"Cozy speakeasy, jazz tunes, vintage vibes, craft cocktails, eclectic crowd."
Spikes,"Lively, punk-themed dive bar with rock music, diverse, edgy crowd."
Kavasutra Kava Bar - 10th St,"Chill atmosphere, relaxed vibe, soothing music, diverse crowd, kava drinks."
Otto's Shrunken Head,"Rock bands, a Polynesian-esque setting & cocktails enliven this offbeat tiki bar."
Mona's,"Cozy, nostalgic dive bar; live jazz; eclectic, artsy crowd."
ReVision Lounge and Gallery,"Brick-walled lounge with quirky decor made from recycled materials, plus frequent DJs & a full bar."
11 Tigers,"Cozy, vibrant Thai bar; eclectic beats; young, diverse crowd; intimate ambiance."
Ama Raw Bar East Village,Raw oysters & seafood bites with Asian influences are served with craft cocktails in a narrow space.
West Wine Bar,"Sophisticated atmosphere, relaxed vibe, jazz music, diverse young professionals favored."
Banks Tavern,"Cozy, lively, jazz tunes, diverse crowd, cocktails, friendly ambiance."
El Pingüino,"Trendy, vibrant atmosphere, eclectic music, young professionals, casual-chic clientele."
Ilegal Mezcal,"Warm, lively bar; Latin vibes, mezcal-focused, live music, diverse crowd."
Bury the Hatchet Axe Throwing Brooklyn,"Vibrant bar with energetic atmosphere, rock music, diverse, adventurous crowd."
Black Rabbit,"Cozy, candlelit bar; vintage vibe; indie music; diverse, young professional crowd."
Pencil Factory,"A tap beer selection is poured in a room with apothecary cabinets, brick walls & wide plank floors."
Brouwerij Lane,"Low-key hangout & store with a wide selection of bottled, canned or growler-tap craft beers."
Brooklyn Safehouse,"Old-school saloon with a pool table & classic American bar eats in low-lit, cozy quarters."
Threes Brewing Greenpoint Bar & Beer Shop,"Modern hangout featuring house-brewed craft beer & elevated bar bites, with a warm, homey vibe."
Broken Land,"Hip bar with wood floors & tin ceilings offering creative cocktails, plus a back patio."
Lili and Cata,"Chic, energetic; Latin beats; trendy crowd; stylish, vibrant."
Little Rascal Bar,"Cozy, intimate vibe with eclectic music, attracting a diverse, artsy crowd."
Sereneco,"Cozy, upscale ambiance, acoustic sounds, organic fare, diverse clientele."
Nighthorse Bar,"retro-chic, laid-back vibe, eclectic tunes, diverse urban crowd."
Madeline's,"Cozy, sophisticated; jazz tunes; upscale crowd; intimate, vintage atmosphere."
Sunshine Laundromat,"Quirky, retro laundromat-bar, playful vibe, pinball games, eclectic crowd, indie playlists."
Temkin's,"Cozy dive bar with chill vibe, eclectic music, and diverse crowd."
barrio polaco,"Lively dive bar, Latin tunes, diverse crowd, vintage decor."
The Noble Brooklyn,"Chic bar with laid-back vibe, soulful tunes, attracts diverse crowd."
O'Neill's Maspeth,"Family-owned mainstay dating back to 1933 featuring casual American fare, draft beers & ample TVs."
GlenPatrick's Pub Queens Bills Backers,"Lively, cozy Irish pub; classic rock; enthusiastic Bills fans; diverse crowd."
Gibbons Home,"Cozy, relaxed atmosphere, indie music, diverse, young professionals."
Connolly's Corner,"Laid-back eatery & bar with tavern surroundings, TV sports, brunch & live music on weekends."
Cozy corner bar,"Intimate, relaxed atmosphere; ambient indie music; diverse, laid-back clientele."
Ear Inn,"Beers & bar bites are on the menu at this popular joint in a landmarked, circa-1817 building."
Sway,"Dim-lit, retro-inspired bar with eclectic music; attracts hipsters."
Kana Soho Bar & Restaurant,"Lively bar featuring Latin American fusion cocktails & dishes, plus regular events."
Azul on the Rooftop,"Festive rooftop bar above Hotel Hugo featuring frozen drinks, tacos & panoramic river & city views."
Bar Hugo,"This stylish rooftop bar above Hotel Hugo offers seasonal drinks, Italian bites & river views."
Felix Roasting Co.,"Chic, cozy atmosphere; eclectic music; trendy, diverse crowd."
Paul’s Casablanca,"chic nightlife, trendy vibe, hip-hop beats, young professionals."
Lazy Point,"Nodding to the East End, this bar has seaside touches to go with cocktails, oysters & small plates."
Westville Hudson,Unassuming American eatery serving market-oriented menu with an emphasis on unique vegetable dishes.
San Marino Soho Italian restaurant.,Sophisticated eatery offers Northern Italian cuisine in a sweeping space with a skylight & patio.
Adoro Lei,"Pizzeria offering wood-fired pies, inventive plates & craft cocktails in a stylish interior."
Bar Mutsumi,"cozy, dim-lit, jazz, craft cocktails, intimate, eclectic crowd."
In Sheep's Clothing NYC,"Elegant, speakeasy vibe, jazz music, sophisticated clientele."
Bar Strega,"Lively, eclectic, vintage-themed bar with diverse patrons, upbeat music, vibrant vibe."
KABIN,"Trendy, intimate bar with indie music, cozy vibe, and diverse patrons."
Mezzanine,"Chic, upscale bar; energetic vibe; eclectic beats; trendy professionals."
The Dutch,"Trendy, vibrant bar with eclectic tunes, upscale crowd, chic atmosphere."
Milady's,"More than 80 years old, this no-frills watering hole chugs along with a jukebox, pool & bar food."
CICCIO Bar & Alimentari,"Tuscan-Italian cuisine, wine & cocktails served in an elegantly appointed, whitewashed space."
Emmett's,"Cozy atmosphere, nostalgic vibe, 80s rock, diverse crowd, engaging bartenders."
Local,"Cozy, vintage-style vibe; relaxed atmosphere; eclectic music; diverse, friendly clientele."
Bar Moga,"Japanese-inspired craft cocktails & comfort dishes are the draw at this low-lit, sophisticated bar."
142 Sullivan Bar,"Compact watering hole with cool vinyl records, local art & a selection of cocktails & wine."
Sweet Rehab,"Charming venue with an open kitchen, specializing in French desserts & viennoiserie baked goods."
Three of Cups Restaurant,"Cozy vintage haunt, eclectic rock music, laid-back vibe, diverse young crowd."
Soho Room NY,"Intimate, brick-walled watering hole with comfy booths offering beer, wine & a tavern menu."
Old Fashion Café,"Charming, vintage vibe, jazz music, cozy ambiance, diverse, sophisticated patrons."
Madame X,A twenty-something crowd frequents this dimly lit lounge with crimson bordello decor.
Blue Haven,"Lively sports bar, eclectic music, casual crowd, vibrant atmosphere."
The Folly,"Gastropub with nautical touches, offering a seafood-focused menu & craft cocktails."
Banter NYC,"Cozy, eclectic bar with indie music; diverse, energetic crowd."
ACME,"Rustic, trendy bar; indie music; urban crowd; vibrant atmosphere."
Bleecker Street Bar,"Drinks, darts, pool & plenty of sports on TV are the calling cards of this laid-back bar."
Lusty Smoke Shop,"Cozy haven, jazz tunes; dimmed lights attract diverse, relaxed crowd."
Temple Bar,"Retro, wood-paneled bar offering cocktails, wines & beer, plus snacks like oysters & beef sliders."
KYU NYC,"Trendy, vibrant, eclectic music, upscale atmosphere, diverse, young professionals."
Great Jones Distilling Co,Elevated classics created in a polished restaurant sharing space with a whiskey distillery & bars.
The Bowery Hotel,"Chic ambiance, vintage decor, indie rock music, youthful, trendy clientele."
Il Buco Alimentari & Vineria,"Upmarket, carefully sourced Mediterranean plates served in a rustic-chic space with a wine cellar."
Swift Hibernian Lounge,Low-key local Irish bar featuring a wide variety of draft & bottled beers.
The Bowery Electric,"Bi-level nightspot offering an eclectic musical mix, including live rock & DJ-led dance parties."
Phebe's,Casual hang with a wide menu of American comfort food & happy-hour specials in a spacious setting.
Von,This dimly-lit bar with a basement dance floor specializes in craft beer and wines by the glass.
The Wren,"Hearty, upscale pub eats, craft cocktails, beer & lots of spirits in a rustic, happening space."
The Scratcher,Rustic neighborhood watering hole with a laid-back Irish vibe & frequent drink specials.
Misirizzi,Small Italian kitchen with a pasta-centric menu & varied wines in warm environs with a fireplace.
Café Standard,"sleek, eclectic vibe, live jazz, diverse crowd, casual elegance."
Jac's on Bond,"Trendy, intimate bar with modern jazz, sophisticated crowd, cozy ambience."
Short Stories,"Trendy bar with cozy vibe, indie music, attracts young professionals, creatives."
"The Garden at The Standard, East Village","Trendy, lush garden vibe, eclectic music, youthful crowd, vibrant night scene."
NO BAR,"Lively, inclusive bar serving cocktails, specialty drinks & light bites, plus DJs & special events."
Mayamezcal,"Mexican small plates & top-shelf tequila cocktails are served in intimate, vintage surroundings."
The Cock,A longtime hole-in-the-wall gay bar with theme nights featuring DJs & go-go boys.
Via Della Pace,"Cozy, cash-only Italian restaurant in the East Village lined with exposed brick."
KGB Bar,Readings & publication parties are regular events at this tiny Soviet-themed watering hole.
Nai,"Spanish fare & flamenco dancing are the draws at this festive, no-frills tapas bar."
MONO+MONO,Korean fried chicken & other eats served alongside soju cocktails while DJs spin jazz records.
Whiskey Town,"Small, casual bar with DJs, tattoo-inspired art in the bathrooms & old wine boxes on the ceiling."
Fish Bar,"Cozy, nautical-themed bar; chill vibe; eclectic music; mixed-age crowd."
Beetle House,"Inspired by Tim Burton's movies, this whimsical, goth hangout serves American fare & cocktails."
The Gray Mare,"Draft beer, cocktails & American bar plates in a laid-back pub setting with rustic decor."
The Black Ant,"Modern Mexican joint putting a creative spin on traditional eats & drinks in a dark, funky interior."
Benemon,"Casual space for Japanese donburi bowls, curry & creative small plates, plus beer, sake & wine."
Paradise Lost,"Intimate, relaxed vibe with atmospheric lighting; eclectic music; diverse crowd."
Bread and Stone,"Trendy, cozy bar with jazz music, artisanal cocktails, diverse patrons."
Sauced,"Cozy, relaxed atmosphere, eclectic music, vintage decor, young professionals."
Please Don't Tell,Patrons who enter through a phone booth in Crif Dogs next door sip novel cocktails in a dark space.
Cafe Mogador,"Charming ambiance, eclectic vibes, world music, attracts diverse and artistic crowd."
La Palapa,"Cozy, Latin-themed, vibrant music, relaxed vibe, diverse patrons."
Bua,"Cozy, relaxed bar with indie beats, diverse young crowd."
Kazuza,A hookah bar with a full menu of Middle Eastern favorites in a vibrantly decorated space.
Ten Degrees,Petite St. Marks Place wine bar offering a variety of vinos paired with small plates.
Blue & Gold Tavern,"Cozy dive bar; chill vibe; rock music; eclectic, mixed-age crowd."
Giano,Contemporary space housing an upscale restaurant serving modern twists on Italian favorites.
International Bar,"Small, spare East barroom drawing locals who like their drinking with no pretensions."
The Grafton,"This laid-back Irish bar offers pub grub, pints & plenty of TVs for catching the game."
St. Dymphna's,"Irish watering hole dispensing pints & classic pub grub in a snug, patio-equipped setting."
Amor Y Amargo,Intimate bar offering an extensive list of cocktails that showcase classic Italian & craft bitters.
Goodnight Sonny,"By the Wayland team, this tile-floored space offers a raw bar, sandwiches & seasonal cocktails."
Ladybird,"Cozy, dim-lit vegan tapas bar with electro beats; young professionals."
Ruffian,"Cozy wine bar, intimate ambiance, indie tunes, eclectic crowd, knowledgeable staff."
Tile Bar,"Cozy dive bar; laid-back vibe, rock music, diverse local crowd."
Big Bar,Intimate bar & gathering place featuring a red lighting scheme & a relaxed atmosphere.
Death & Co East Village,"Intimate, sophisticated atmosphere; craft cocktails; eclectic music; trendy, diverse clientele."
Cherry Tavern,"Dark, unassuming hangout boasting a jukebox, billiards & drink specials with a laid-back vibe."
Aura Bar & Kitchen,"Lively, cozy ambiance; eclectic music; diverse clientele; casual, trendy vibe."
Tin Parlour,"Cozy speakeasy; vintage vibes, eclectic jazz, young professional crowd."
The Lions Bar & Grill,"Trendy, lively ambiance; modern decor; diverse clientele; upbeat music; craft cocktails."
Mister Paradise,Craft cocktails with playful names are paired with elevated bites in a chic space with a red room.
The Headless Widow,Creative cocktails & craft beers pair with elevated bar bites like oysters at this stylish hangout.
Whiskey Cellar NYC,"Cozy speakeasy vibe, jazz music, diverse professional crowd."
B Lounge NYC,"Trendy, chic lounge; upbeat ambiance, diverse crowd, top hits music."
345 Cantina,"Lively, rustic bar with upbeat Latin music, attracting diverse, trendy crowd."
Schmuck,"Eclectic dive vibes, retro music, hip mixed crowd, relaxed ambiance."
Area 140 First Bar,"Chill, trendy spot offering eclectic tunes, diverse crowd, urban ambiance."
Craft + Carry Saint Marks,"Craft beers, friendly atmosphere, indie music, diverse crowd, vibrant energy."
Romeos,"Lively NYC bar, relaxed vibe, eclectic music, diverse young professionals."
Jones Street Wine Bar,"Cozy, rustic vibe; jazz music; diverse crowd; intimate, relaxed atmosphere."
local descolado,"Trendy NYC bar with eclectic music, vibrant atmosphere, diverse trendy crowd."
Augurs Well Bar,"Laid-back, brick-clad neighborhood bar serving craft beer alongside hearty burgers & fries."
Instant Noodle Factory Downtown,"Industrial-themed, relaxed ambiance, indie music, diverse crowd, affordable drinks, creative bites."
The Cannaliv Experience,"chic, vibrant, diverse music, cocktail-centric, millennial-friendly crowd."
Overthrow Hospitality,"Trendy, inclusive bar with a vibrant atmosphere, eclectic music, diverse clientele."
Baker Falls,"Indie-rock haven, retro decor, lively vibe, diverse crowd."
Avant Garden,"Refined vegan dishes & global wines served in a snug, brick-walled eatery with a branch chandelier."
Blind Barber,"Hip speakeasy with retro vibes, eclectic music, and young professional patrons."
Gnocco,"Cuisine from northern Italy's Emilia region inspires the menu at this rustic, patio-equipped eatery."
Niagara,This longtime watering hole on a busy Alphabet City corner features DJ-spun tunes & a photo booth.
Dream Baby Bar and Cocktail Parlour,"Relaxed, intimate cocktail lounge with comfy banquettes, creative drinks & retro music."
Doc Holliday's,Texas roadhouse-style bar in the East Village with biker bartenders & country music on the jukebox.
Maiden Lane,"Maiden Lane offers relaxed ambiance, eclectic music, diverse, younger professional crowd."
Blanche's Tavern,"Lively, vintage-themed bar; diverse crowd; rock music; dimly lit; friendly atmosphere."
Bad Habit Ice Creams,"Trendy, cozy spot blending eclectic beats, artisanal cocktails, young crowd."
High Demand Social Club,"Trendy bar with chic decor, upbeat music, young professional crowd."
Sip + Co. East Village,"Hip bar in East Village; vibrant atmosphere, eclectic tunes, diverse crowd."
Lovers of Today,"Intimate, vintage bar with eclectic music; diverse crowd."
96 Tears,"Cozy, retro bar with eclectic tunes; indie crowd, casual-chic vibe."
Soda Club,"Trendy, vibrant, retro-themed bar with eclectic music attracting young professionals."
Lucky,"Cozy, lively atmosphere, eclectic music, diverse crowd, welcoming vibe."
Brindle Room,"East Village gastropub serving American comfort food in shareable small plates, plus weekend brunch."
Royale,"Cozy and friendly vibe, indie-rock music, diverse crowds, casual hangout."
Madeline's Martini,"Chic, cozy speakeasy; jazz tunes; sophisticated ambiance; mixed-age professionals."
The York,"Chic, energetic NYC bar with diverse crowd, modern decor, electronic music."
Jose Luis Mediterranean Cuisine,"Tapas, paellas & pasta are served in this relaxed restaurant that has snug surroundings & a patio."
Rumba NYC Bar & Grill,"Lively atmosphere, Latin music, vibrant crowd, diverse demographic, energetic nightlife."
RUE-B,"Hip, intimate bar with jazz music, artistic ambiance, diverse patrons."
Hi-Note,"Lively NYC bar with jazz music, chic atmosphere, and diverse crowd."
Studio 151,"Cozy speakeasy vibe, eclectic music mix, diverse crowd, intimate atmosphere."
Nublu,"Eclectic, vibrant, live jazz, international crowd, intimate, creative haven."
The Cabinet Mezcal Bar,"Intimate, rustic ambiance, eclectic music, and diverse crowd."
Bobby's Night Out,"Cozy ambiance, retro vibes, jazz tunes, eclectic decor, diverse crowd."
The Mallard Drake,"Chic, vintage-inspired NYC bar; jazz tunes; diverse, stylish crowd; cozy."
Million Goods,"Trendy, relaxed bar; eclectic decor, indie music, attracts young professionals."
Capri Social Club,"Casual dive bar with vintage decor, eclectic music, diverse crowd."
Wise Guy NY,"Trendy, cozy bar with jazz music attracting young professionals and locals."
The Tasting Room,"Cozy atmosphere; refined vibe; jazz music; sophisticated, diverse, adult clientele."
Twins Lounge,"Trendy bar, cozy atmosphere, eclectic vibes, indie music, diverse crowd."
Lake Street Bar,"Quaint neighborhood sports bar with a selection of Midwestern canned & bottled brews, plus taps."
